Dates,IVOL_IMPLIED_FORWARD,IVOL_DELTA
1/2/20,325.6674,14.3385
1/3/20,323.2867,14.6881
1/6/20,323.8963,14.6475
1/7/20,323.4212,14.6017
1/8/20,325.2006,13.9187
1/9/20,327.4236,13.6171
1/10/20,326.6236,14.0209
1/13/20,328.7806,13.8377
1/14/20,328.2315,13.7468
1/15/20,328.6947,13.621
1/16/20,331.4416,13.3526
1/17/20,333.0237,13.3843
1/21/20,332.1324,13.7541
1/22/20,332.5754,13.7584
1/23/20,332.7354,13.7779
1/24/20,329.6102,14.0431
1/27/20,324.1877,14.8589
1/28/20,327.6946,14.5722
1/29/20,327.2448,14.6183
1/30/20,327.9354,14.3395
1/31/20,322.2929,15.2646
2/3/20,324.2627,15.0324
2/4/20,329.4339,14.3198
2/5/20,333.3245,14.0266
2/6/20,334.7013,13.833
2/7/20,332.6313,14.2095
2/10/20,335.1508,13.9265
2/11/20,335.9758,14.0059
2/12/20,338.4616,13.6487
2/13/20,337.8289,13.8266
2/14/20,338.4427,13.5741
2/18/20,337.2696,13.8176
2/19/20,339.4314,13.6459
2/20/20,337.8866,13.7771
2/21/20,333.7472,14.6419
2/24/20,322.3138,16.9314
2/25/20,312.9771,17.424
2/26/20,311.4416,17.5333
2/27/20,297.2929,20.4262
2/28/20,290.6818,20.5566
3/2/20,304.6257,18.687
3/3/20,296.2553,21.7371
3/4/20,308.7594,19.2448
3/5/20,298.5664,22.2957
3/6/20,294.3764,22.916
3/9/20,270.9709,28.665
3/10/20,281.9247,26.0837
3/11/20,269.9119,28.2841
3/12/20,244.3993,34.2187
3/13/20,262.9451,28.9306
3/16/20,233.5365,38.168
3/17/20,246.3715,35.8217
3/18/20,231.5996,40.435
3/19/20,235.4128,35.9847
3/20/20,224.6797,34.3238
3/23/20,217.8602,31.8814
3/24/20,237.296,28.1178
3/25/20,240.2071,31.6616
3/26/20,254.981,28.8433
3/27/20,246.0954,31.3327
3/30/20,254.7234,29.6094
3/31/20,252.928,29.7487
4/1/20,240.104,32.9231
4/2/20,245.7867,30.4061
4/3/20,242.04,31.378
4/6/20,259.9483,28.4044
4/7/20,259.9368,31.6208
4/8/20,268.1189,28.8452
4/9/20,271.7626,28.0937
4/13/20,269.0362,28.197
4/14/20,277.1857,27.2813
4/15/20,270.8925,28.4956
4/16/20,273.5318,28.7537
4/17/20,280.1021,28.0484
4/20/20,275.6591,28.8086
4/21/20,267.2331,30.622
4/22/20,273.3811,30.6457
4/23/20,272.7662,30.5985
4/24/20,276.4648,28.7729
4/27/20,281.1042,27.7715
4/28/20,280.0839,26.8275
4/29/20,287.2235,26.3701
4/30/20,285.4664,26.146
5/1/20,276.0368,28.4025
5/4/20,277.3522,27.6285
5/5/20,279.8351,27.5109
5/6/20,278.1353,27.6056
5/7/20,280.7474,27.5197
5/8/20,285.7287,25.8374
5/11/20,286.6835,24.7564
5/12/20,280.8587,26.34
5/13/20,275.6795,27.215
5/14/20,278.1519,24.4344
5/15/20,280.2024,23.6302
5/18/20,289.8843,22.5598
5/19/20,287.5543,23.2296
5/20/20,292.0865,22.2903
5/21/20,290.037,22.9272
5/22/20,290.687,22.4921
5/26/20,294.4882,22.3612
5/27/20,298.7581,21.0685
5/28/20,298.7499,22.1538
5/29/20,300.0777,21.2033
6/1/20,300.7704,21.5216
6/2/20,303.26,21.1459
6/3/20,307.576,21.147
6/4/20,306.5451,21.3748
6/5/20,314.1961,20.7456
6/8/20,318.4183,19.7968
6/9/20,316.3023,21.3816
6/10/20,315.0385,21.4443
6/11/20,297.0123,24.3843
6/12/20,300.1176,23.2083
6/15/20,301.2194,23.2074
6/16/20,306.0964,23.3844
6/17/20,306.245,23.3676
6/18/20,306.6768,22.9828
6/19/20,305.475,23.4607
6/22/20,306.2529,23.0366
6/23/20,308.3899,23.403
6/24/20,300.0474,24.2169
6/25/20,302.5646,23.0331
6/26/20,296.8454,24.1568
6/29/20,299.2025,23.4391
6/30/20,305.2893,22.5369
7/1/20,307.532,22.4623
7/2/20,307.9052,22.3232
7/6/20,312.9569,21.7441
7/7/20,310.5271,22.1467
7/8/20,311.9901,21.9488
7/9/20,309.9833,22.2452
7/10/20,313.0261,21.9999
7/13/20,311.6951,22.3982
7/14/20,315.2577,21.8261
7/15/20,317.4939,21.7694
7/16/20,316.6977,21.7864
7/17/20,317.2995,21.7997
7/20/20,320.4214,20.9982
7/21/20,320.9519,20.9201
7/22/20,323.5353,20.5453
7/23/20,319.2134,20.7206
7/24/20,316.5275,21.5143
7/27/20,319.2425,20.9741
7/28/20,317.0865,21.6826
7/29/20,320.2532,21.5481
7/30/20,318.3471,22.0261
7/31/20,321.079,21.387
8/3/20,323.4446,21.5944
8/4/20,325.9634,20.8981
8/5/20,327.9739,20.6971
8/6/20,329.0885,20.9353
8/7/20,330.2747,20.6171
8/10/20,330.4014,20.8228
8/11/20,327.7878,21.1507
8/12/20,332.7124,20.6054
8/13/20,332.2936,20.8679
8/14/20,331.6537,21.075
8/17/20,333.0609,20.9405
8/18/20,333.0219,21.1869
8/19/20,332.1174,21.0115
8/20/20,333.8532,21.1902
8/21/20,334.5125,21.0134
8/24/20,337.5754,20.654
8/25/20,338.9734,20.6529
8/26/20,342.8299,20.5478
8/27/20,344.4514,20.8073
8/28/20,346.1984,20.7388
8/31/20,345.7354,21.2252
9/1/20,348.1062,21.2104
9/2/20,353.4022,22.1166
9/3/20,340.6459,23.0505
9/4/20,337.7199,22.9756
9/8/20,329.5092,22.9166
9/9/20,336.6329,21.9206
9/10/20,330.2843,22.2875
9/11/20,329.8234,22.067
9/14/20,334.2421,22.1491
9/15/20,336.1761,21.8212
9/16/20,334.5091,22.24
9/17/20,331.6045,21.8659
9/18/20,327.8274,22.8528
9/21/20,323.0189,23.1264
9/22/20,327.2009,22.8982
9/23/20,319.6171,23.3335
9/24/20,320.9786,22.8642
9/25/20,324.3117,22.9585
9/28/20,329.7815,22.4472
9/29/20,328.2653,22.6286
9/30/20,332.4369,22.0037
10/1/20,332.2861,22.6385
10/2/20,330.2003,23.3049
10/5/20,335.7982,22.4968
10/6/20,331.2257,22.7351
10/7/20,336.8911,22.3137
10/8/20,339.5094,21.8191
10/9/20,342.0223,21.2112
10/12/20,346.9025,21.5535
10/13/20,346.7695,21.3679
10/14/20,345.0411,21.1528
10/15/20,340.7385,21.7976
10/16/20,343.7148,21.3028
10/19/20,338.0441,22.2669
10/20/20,340.0962,22.0507
10/21/20,338.6251,21.9952
10/22/20,338.4811,22.277
10/23/20,340.949,21.177
10/26/20,334.76,22.1648
10/27/20,333.8674,22.5773
10/28/20,321.2678,24.4324
10/29/20,325.8792,23.5153
10/30/20,320.3743,23.1939
11/2/20,325.9385,22.4261
11/3/20,333.1568,22.5908
11/4/20,337.4015,21.3167
11/5/20,344.9621,21.691
11/6/20,342.5625,21.5111
11/9/20,349.2524,20.7137
11/10/20,349.2757,20.6181
11/11/20,351.9146,20.1439
11/12/20,350.3505,20.1727
11/13/20,353.2493,20.1636
11/16/20,356.8264,20.1829
11/17/20,356.1086,20.0234
11/18/20,352.4876,20.2494
11/19/20,353.5474,19.9717
11/20/20,350.7764,20.5148
11/23/20,352.8726,20.2751
11/24/20,359.5504,19.6593
11/25/20,358.0362,19.6969
11/27/20,359.2995,19.4739
11/30/20,358.0313,19.5261
12/1/20,361.4919,19.4782
12/2/20,361.7643,19.4681
12/3/20,362.086,19.8579
12/4/20,365.0531,19.3208
12/7/20,364.4053,19.5508
12/8/20,364.1522,19.8171
12/9/20,364.0612,19.219
12/10/20,362.7044,19.7452
12/11/20,360.6881,20.2478
12/14/20,360.2423,20.6004
12/15/20,360.9132,20.2362
12/16/20,363.7792,19.8673
12/17/20,366.4415,19.6797
12/18/20,366.0388,19.541
12/21/20,361.0232,20.8935
12/22/20,362.6466,20.4649
12/23/20,363.0434,20.3156
12/24/20,363.7263,19.9124
12/28/20,366.2614,20.0249
12/29/20,366.2844,20.0323
12/30/20,368.1139,20.4697
12/31/20,367.6057,20.2244
1/4/21,363.5334,20.8563
1/5/21,365.5935,20.5562
1/6/21,367.9157,20.9844
1/7/21,374.4327,19.5634
1/8/21,376.3736,19.1131
1/11/21,373.0583,20.6764
1/12/21,373.9481,20.1457
1/13/21,374.1979,20.3562
1/14/21,373.773,20.4801
1/15/21,370.5963,21.0008
1/19/21,373.0576,20.4832
1/20/21,378.554,20.2607
1/21/21,379.2871,20.1585
1/22/21,378.3501,20.4173
1/25/21,379.1791,20.7171
1/26/21,379.0179,21.0803
1/27/21,369.8531,23.047
1/28/21,374.1286,22.4686
1/29/21,369.2425,22.4095
2/1/21,371.2492,22.5191
2/2/21,376.9962,21.8942
2/3/21,376.0106,21.9731
2/4/21,379.4871,21.0088
2/5/21,382.8926,20.9401
2/8/21,385.6813,20.5679
2/9/21,385.3772,21.213
2/10/21,384.0458,21.5905
2/11/21,386.6826,20.8476
2/12/21,387.3236,21.0046
2/16/21,388.2829,21.0085
2/17/21,386.7225,21.3879
2/18/21,383.9072,21.8916
2/19/21,386.3835,21.0734
2/22/21,381.0587,22.0996
2/23/21,382.3432,21.5007
2/24/21,386.1273,21.0703
2/25/21,377.4637,22.3371
2/26/21,376.821,22.1514
3/1/21,382.5877,21.2869
3/2/21,381.9991,21.5132
3/3/21,377.8738,21.4035
3/4/21,371.3384,21.9284
3/5/21,376.5296,21.657
3/8/21,379.1951,20.7535
3/9/21,384.2786,20.3123
3/10/21,384.9168,20.2984
3/11/21,389.1696,20.3212
3/12/21,389.2911,19.9921
3/15/21,392.0128,19.2951
3/16/21,392.3849,19.4593
3/17/21,392.0176,19.3323
3/18/21,387.508,19.7303
3/19/21,386.1561,20.0527
3/22/21,387.8642,19.346
3/23/21,385.186,19.1364
3/24/21,383.253,19.7399
3/25/21,384.3437,18.8851
3/26/21,390.0947,18.3428
3/29/21,390.6839,18.4518
3/30/21,387.9789,18.352
3/31/21,390.9492,17.8999
4/1/21,395.4034,17.2275
4/5/21,401.6163,17.1332
4/6/21,401.0182,17.4791
4/7/21,401.3346,17.2253
4/8/21,402.3999,17.1298
4/9/21,406.271,16.7378
4/12/21,406.7341,17.2305
4/13/21,407.5446,17.3057
4/14/21,406.6918,17.5167
4/15/21,409.8493,17.2544
4/16/21,411.8034,17.2529
4/19/21,410.8506,17.1913
4/20/21,408.5207,17.4083
4/21/21,408.0144,17.4753
4/22/21,407.6364,17.8094
4/23/21,411.4754,17.4342
4/26/21,412.1434,17.6286
4/27/21,412.8335,17.2557
4/28/21,411.5795,17.7022
4/29/21,414.5211,17.087
4/30/21,412.2761,17.3814
5/3/21,413.7536,17.3247
5/4/21,410.8801,17.0886
5/5/21,411.4688,17.7812
5/6/21,412.3692,17.5691
5/7/21,415.5743,17.3867
5/10/21,414.2978,17.5903
5/11/21,406.9104,18.0456
5/12/21,401.4524,19.8581
5/13/21,404.3854,18.9237
5/14/21,407.8316,17.3015
5/17/21,410.4654,17.5186
5/18/21,407.9344,18.036
5/19/21,403.5761,18.6233
5/20/21,407.2681,18.3279
5/21/21,410.9107,18.3156
5/24/21,412.0766,17.5436
5/25/21,414.327,17.4585
5/26/21,412.9161,17.2276
5/27/21,414.8826,16.8022
5/28/21,414.8241,16.6392
6/1/21,416.7268,16.5167
6/2/21,414.7008,16.5161
6/3/21,412.8646,16.962
6/4/21,416.3177,16.4528
6/7/21,416.7331,16.1776
6/8/21,417.0118,16.3682
6/9/21,416.5283,16.4823
6/10/21,418.1689,15.9037
6/11/21,419.1187,15.5047
6/14/21,418.5663,15.8601
6/15/21,417.9258,16.063
6/16/21,415.4048,16.517
6/17/21,414.9757,16.1286
6/18/21,410.5473,16.9845
6/21/21,415.4665,16.3971
6/22/21,417.8569,16.0001
6/23/21,417.5812,15.6001
6/24/21,419.6011,15.459
6/25/21,421.179,15.34
6/28/21,422.717,15.2783
6/29/21,422.5709,15.5066
6/30/21,422.2281,15.3539
7/1/21,423.5792,15.5337
7/2/21,427.187,15.0472
7/6/21,428.5965,15.461
7/7/21,428.9571,15.8454
7/8/21,424.797,16.5374
7/9/21,427.4403,15.2977
7/12/21,429.5656,15.9802
7/13/21,430.0089,16.195
7/14/21,430.6173,16.4031
7/15/21,429.2647,16.9475
7/16/21,426.1648,17.4514
7/19/21,419.7367,18.1482
7/20/21,422.5359,17.9972
7/21/21,427.4576,17.2433
7/22/21,429.8484,16.8747
7/23/21,432.4704,16.8387
7/26/21,433.7873,17.0072
7/27/21,435.5593,16.8881
7/28/21,433.865,17.1172
7/29/21,434.9925,16.5874
7/30/21,432.3589,16.9774
8/2/21,431.9145,17.9866
8/3/21,433.9544,16.9146
8/4/21,432.7263,17.3907
8/5/21,435.2265,16.8758
8/6/21,436.6255,16.7826
8/9/21,436.5863,17.0147
8/10/21,437.2207,16.8638
8/11/21,438.4843,16.7804
8/12/21,439.6849,16.639
8/13/21,439.9428,16.5163
8/16/21,441.4607,16.0965
8/17/21,438.7199,17.0942
8/18/21,434.2136,17.9838
8/19/21,433.5983,18.3895
8/20/21,438.0646,17.4828
8/23/21,441.6701,17.0397
8/24/21,442.5067,17.0715
8/25/21,443.7511,16.5419
8/26/21,441.05,17.081
8/27/21,444.656,16.7042
8/30/21,446.7674,16.8906
8/31/21,446.7923,16.4636
9/1/21,446.0656,17.1363
9/2/21,447.2915,16.5686
9/3/21,447.1546,16.5709
9/7/21,445.8846,16.7602
9/8/21,445.1446,17.4596
9/9/21,443.4285,17.6872
9/10/21,440.3591,18.0355
9/13/21,440.2496,17.4459
9/14/21,438.9089,18.0471
9/15/21,441.9483,17.2532
9/16/21,441.5932,17.5451
9/17/21,437.7657,18.0249
9/20/21,430.3854,19.039
9/21/21,429.6197,19.5514
9/22/21,433.1634,18.5841
9/23/21,437.7724,17.7125
9/24/21,438.251,17.5383
9/27/21,437.0545,17.6564
9/28/21,428.7902,19.2898
9/29/21,428.4236,19.6705
9/30/21,424.7925,19.8927
10/1/21,427.0655,18.8468
10/4/21,422.7402,19.2819
10/5/21,427.0728,18.9202
10/6/21,428.825,18.0964
10/7/21,432.1667,18.3524
10/8/21,432.4925,18.2423
10/11/21,429.3528,19.347
10/12/21,429.5672,18.3494
10/13/21,430.0554,17.4298
10/14/21,436.504,17.8697
10/15/21,440.5615,17.157
10/18/21,441.6159,17.3059
10/19/21,444.9929,17.2826
10/20/21,446.3098,17.1209
10/21/21,449.3699,16.7143
10/22/21,450.0797,16.7821
10/25/21,451.165,16.7187
10/26/21,453.0417,16.9185
10/27/21,451.3942,17.3889
10/28/21,455.5061,16.8196
10/29/21,456.902,16.7555
11/1/21,457.4457,16.8054
11/2/21,458.6906,16.7612
11/3/21,461.3723,15.9025
11/4/21,462.2616,16.427
11/5/21,465.8302,16.7625
11/8/21,467.2412,16.8763
11/9/21,466.5102,16.5138
11/10/21,461.8391,17.3196
11/11/21,462.597,17.1708
11/12/21,464.022,17.0659
11/15/21,465.0839,16.8798
11/16/21,466.7881,17.0749
11/17/21,466.1595,17.2258
11/18/21,467.122,16.9821
11/19/21,466.785,17.7254
11/22/21,466.0443,18.2771
11/23/21,467.6133,17.0031
11/24/21,464.8309,17.5341
11/26/21,457.2259,19.7404
11/29/21,461.6675,18.6739
11/30/21,454.2245,20.1872
12/1/21,449.9011,21.1327
12/2/21,453.7778,20.3868
12/3/21,452.0896,20.5132
12/6/21,456.5408,19.8668
12/7/21,466.0565,18.1547
12/8/21,468.1238,17.7732
12/9/21,464.9399,18.5359
12/10/21,469.153,17.327
12/13/21,463.3445,18.2612
12/14/21,459.8267,18.9299
12/15/21,466.9947,17.0141
12/16/21,465.4733,18.0781
12/17/21,458.7466,19.1131
12/20/21,453.6576,19.2776
12/21/21,461.1592,18.6247
12/22/21,466.1004,17.8423
12/23/21,469.7166,17.957
12/27/21,475.7887,17.0971
12/28/21,475.2656,17.3018
12/29/21,476.6842,16.7738
12/30/21,474.5481,16.8908
12/31/21,473.4974,16.9983
1/3/22,476.3785,16.4617
1/4/22,476.702,16.5662
1/5/22,468.0949,17.6227
1/6/22,467.2503,17.5507
1/7/22,465.8356,17.4378
1/10/22,464.6551,17.1859
1/11/22,468.7854,16.6958
1/12/22,470.5747,16.5985
1/13/22,463.9974,17.8971
1/14/22,464.4665,16.6992
1/18/22,456.3992,18.5881
1/19/22,452.8556,19.3873
1/20/22,449.535,19.9917
1/21/22,440.1671,21.2247
1/24/22,437.7094,21.0579
1/25/22,433.0038,22.2535
1/26/22,433.8307,21.3509
1/27/22,433.21,21.736
1/28/22,439.89,20.2285
1/31/22,447.5295,19.5782
2/1/22,453.3396,18.6595
2/2/22,457.8618,18.4423
2/3/22,447.5157,20.1075
2/4/22,450.1166,20.0436
2/7/22,448.2196,19.9682
2/8/22,452.9347,18.8378
2/9/22,457.9246,18.133
2/10/22,455.3101,18.8094
2/11/22,446.3681,19.9418
2/14/22,442.0773,20.3747
2/15/22,448.6234,19.6597
2/16/22,448.057,19.4389
2/17/22,439.4183,20.7478
2/18/22,437.1186,20.5808
2/22/22,431.5322,21.5928
2/23/22,425.8369,22.154
2/24/22,428.598,21.2634
2/25/22,439.5702,20.3237
2/28/22,437.5997,20.4127
3/1/22,430.609,22.1773
3/2/22,439.7874,21.4685
3/3/22,439.6734,20.9946
3/4/22,432.9416,21.6695
3/7/22,426.6727,23.103
3/8/22,421.4491,22.4912
3/9/22,432.0571,21.7652
3/10/22,427.9695,22.0094
3/11/22,424.5465,22.3173
3/14/22,421.1137,22.5071
3/15/22,429.7144,21.9982
3/16/22,437.2629,21.1979
3/17/22,445.9067,20.5207
3/18/22,451.3942,20.2043
3/21/22,450.7925,20.0608
3/22/22,458.5786,19.8731
3/23/22,453.9859,20.2759
3/24/22,457.7745,19.8352
3/25/22,460.5577,19.7007
3/28/22,465.1644,19.4961
3/29/22,471.6878,19.1812
3/30/22,467.7503,19.5254
3/31/22,464.7912,19.6986
4/1/22,461.0097,19.8227
4/4/22,466.529,19.6819
4/5/22,461.6223,20.2461
4/6/22,457.581,20.3912
4/7/22,460.9328,20.3479
4/8/22,459.5646,20.3748
4/11/22,451.5996,20.7872
4/12/22,448.0032,20.6758
4/13/22,453.9557,20.3687
4/14/22,448.6763,20.8468
4/18/22,446.3563,20.7973
4/19/22,457.1564,19.8893
4/20/22,456.9572,20.242
4/21/22,450.8156,20.5379
4/22/22,440.4499,21.5551
4/25/22,437.6986,21.4006
4/26/22,427.445,22.2465
4/27/22,427.8895,21.7021
4/28/22,438.5557,21.2541
4/29/22,425.2826,22.047
5/2/22,421.583,21.561
5/3/22,424.5971,21.4978
5/4/22,437.5822,20.5147
5/5/22,420.8318,21.7838
5/6/22,418.8119,21.9427
5/9/22,405.5542,22.6673
5/10/22,405.2351,22.5895
5/11/22,400.283,22.9386
5/12/22,395.8885,22.6773
5/13/22,409.3977,21.887
5/16/22,407.8698,21.9287
5/17/22,415.7874,21.3822
5/18/22,399.7279,22.7903
5/19/22,396.7218,22.5297
5/20/22,394.1095,22.0375
5/23/22,402.5828,22.0032
5/24/22,401.0104,22.0401
5/25/22,404.843,21.8401
5/26/22,412.7047,21.5263
5/27/22,422.4362,20.9738
5/31/22,422.8793,21.1907
6/1/22,419.7133,21.5598
6/2/22,424.4706,21.0668
6/3/22,419.9853,21.1768
6/6/22,421.1776,21.2855
6/7/22,425.2255,21.2979
6/8/22,421.6629,20.936
6/9/22,413.2956,21.6049
6/10/22,401.5213,22.1364
6/13/22,384.64,23.0196
6/14/22,384.2365,22.7703
6/15/22,390.6912,22.0927
6/16/22,375.2323,22.7312
6/17/22,378.4429,22.609
6/21/22,387.8982,22.1394
6/22/22,386.6904,22.0098
6/23/22,388.7926,22.1301
6/24/22,400.6085,21.847
6/27/22,400.9138,21.4096
6/28/22,391.0076,22.0824
6/29/22,392.0464,21.9362
6/30/22,387.8274,22.1246
7/1/22,390.8103,22.0529
7/5/22,391.7248,21.5328
7/6/22,394.8824,21.8212
7/7/22,400.0199,21.7668
7/8/22,401.6271,21.6245
7/11/22,395.4877,21.9905
7/12/22,389.5576,22.6444
7/13/22,390.353,22.1509
7/14/22,388.4053,22.2286
7/15/22,395.729,21.9081
7/18/22,393.0577,22.2487
7/19/22,404.5024,21.679
7/20/22,407.7697,22.0577
7/21/22,409.54,21.8287
7/22/22,405.6519,21.9521
7/25/22,405.7839,22.0127
7/26/22,402.653,21.9485
7/27/22,414.0237,21.4765
7/28/22,417.1774,21.3379
7/29/22,424.7003,20.9796
8/1/22,423.2927,21.3498
8/2/22,421.7462,21.6451
8/3/22,428.8905,21.1755
8/4/22,426.3819,21.3283
8/5/22,426.0224,21.2016
8/8/22,427.4511,21.2476
8/9/22,425.4139,21.2983
8/10/22,434.2615,21.065
8/11/22,434.2562,21.1461
8/12/22,441.2264,20.1035
8/15/22,443.5638,20.4483
8/16/22,444.6691,20.2178
8/17/22,442.0034,20.5764
8/18/22,443.2741,20.3643
8/19/22,436.975,20.6926
8/22/22,427.701,21.1884
8/23/22,427.1943,21.0766
8/24/22,428.6803,20.8438
8/25/22,432.8388,20.2473
8/26/22,420.7187,21.1901
8/29/22,418.8038,21.2849
8/30/22,413.1694,21.3543
8/31/22,410.8543,21.7199
9/1/22,408.0793,21.3343
9/2/22,403.8825,21.9272
9/6/22,404.4653,21.8514
9/7/22,411.5919,21.6122
9/8/22,412.577,21.3759
9/9/22,422.6597,21.0952
9/12/22,425.4564,21.2757
9/13/22,408.8216,22.2595
9/14/22,409.3731,22.0621
9/15/22,406.7887,22.2142
9/16/22,404.1808,21.9634
9/19/22,407.3233,21.7366
9/20/22,404.0219,22.1561
9/21/22,398.6185,22.2455
9/22/22,395.0911,22.2465
9/23/22,385.1264,22.691
9/26/22,383.2626,23.275
9/27/22,380.8173,23.5083
9/28/22,388.8215,22.9287
9/29/22,379.4965,23.0889
9/30/22,376.5276,23.4167
10/3/22,384.4399,22.8967
10/4/22,394.6903,22.2672
10/5/22,396.7343,22.4874
10/6/22,392.0906,22.6607
10/7/22,380.6147,23.2613
10/10/22,378.8004,23.6521
10/11/22,374.8907,23.6762
10/12/22,375.3244,23.6611
10/13/22,384.214,23.5137
10/14/22,377.1715,23.882
10/17/22,386.9784,23.1975
10/18/22,389.8078,23.2194
10/19/22,387.6383,23.2594
10/20/22,385.62,23.3671
10/21/22,393.8886,23.4821
10/24/22,399.467,23.5345
10/25/22,405.5149,23.18
10/26/22,403.2409,23.1119
10/27/22,400.8,23.098
10/28/22,409.2465,22.6721
10/31/22,407.9721,22.3669
11/1/22,406.8504,22.2397
11/2/22,396.829,22.6996
11/3/22,391.9764,22.9575
11/4/22,396.3297,22.6083
11/7/22,401.4069,22.0683
11/8/22,403.5949,22.6016
11/9/22,394.9028,22.8911
11/10/22,415.3566,21.9507
11/11/22,419.7464,22.0379
11/14/22,417.0869,21.9929
11/15/22,419.7403,21.6866
11/16/22,417.012,21.6274
11/17/22,415.6884,21.3831
11/18/22,417.8651,21.5077
11/21/22,416.9248,21.3332
11/22/22,422.5274,20.9527
11/23/22,424.62,20.66
11/25/22,425.1066,20.7954
11/28/22,418.891,21.1048
11/29/22,418.3206,21.0316
11/30/22,429.1806,20.7876
12/1/22,430.1576,20.3033
12/2/22,429.3168,20.4805
12/5/22,423.1099,20.3002
12/6/22,415.5307,20.9938
12/7/22,414.6662,21.2061
12/8/22,417.596,21.0269
12/9/22,414.8059,21.2947
12/12/22,420.9285,21.0027
12/13/22,423.6503,20.7259
12/14/22,421.6234,20.9838
12/15/22,410.8931,21.2098
12/16/22,406.2096,21.7212
12/19/22,401.3849,21.7641
12/20/22,401.4693,21.7079
12/21/22,407.35,21.3601
12/22/22,401.4218,21.3796
12/23/22,404.0192,21.299
12/27/22,402.9935,21.596
12/28/22,398.2763,21.4617
12/29/22,405.0803,20.9177
12/30/22,403.9636,20.746
1/3/23,402.3145,21.08
1/4/23,404.4618,20.6524
1/5/23,400.3334,20.963
1/6/23,408.3939,20.4613
1/9/23,408.7924,20.2094
1/10/23,411.5975,19.9739
1/11/23,417.0084,19.3898
1/12/23,418.7649,19.1338
1/13/23,420.8885,18.4893
1/17/23,419.8326,18.674
1/18/23,412.7151,18.9723
1/19/23,409.6571,19.3121
1/20/23,417.3019,18.4547
1/23/23,423.1195,18.017
1/24/23,422.4941,17.7125
1/25/23,422.0001,17.5639
1/26/23,426.4409,16.9304
1/27/23,427.4103,17.2075
1/30/23,422.0664,17.391
1/31/23,427.5844,17.0912
2/1/23,432.0326,17.1001
2/2/23,438.7705,16.7424
2/3/23,435.7974,16.9221
2/6/23,433.3942,17.4335
2/7/23,439.0028,17.0917
2/8/23,434.1219,17.4609
2/9/23,430.8317,17.7575
2/10/23,431.543,17.7801
2/13/23,436.5489,17.7066
2/14/23,438.2952,17.3003
2/15/23,439.1974,17.0983
2/16/23,435.389,17.289
2/17/23,431.1619,17.8377
2/21/23,423.8148,18.463
2/22/23,422.6278,18.1549
2/23/23,425.3111,17.9474
2/24/23,421.2726,18.0953
2/27/23,422.4462,18.0089
2/28/23,422.4071,17.7372
3/1/23,420.1275,17.902
3/2/23,422.7798,17.7859
3/3/23,430.2369,17.3056
3/6/23,430.8732,17.3373
3/7/23,424.4777,17.6327
3/8/23,424.9924,17.5564
3/9/23,416.0322,18.1884
3/10/23,408.3182,18.6499
3/13/23,401.6584,19.2434
3/14/23,410.6996,18.4722
3/15/23,405.4926,19.1519
3/16/23,415.4126,18.647
3/17/23,408.6872,19.4084
3/20/23,413.8831,18.9639
3/21/23,420.6004,18.4349
3/22/23,414.1827,18.5882
3/23/23,414.1564,18.4116
3/24/23,414.5539,18.5687
3/27/23,415.538,18.5812
3/28/23,415.9375,18.2999
3/29/23,421.9855,18.0724
3/30/23,424.7019,17.9475
3/31/23,430.4446,17.474
4/3/23,432.2893,17.4076
4/4/23,428.6373,17.7115
4/5/23,427.3373,17.8246
4/6/23,428.8891,17.8277
4/10/23,430.2437,17.6069
4/11/23,430.8804,17.6191
4/12/23,428.7954,17.7061